Topic,Top Terms,AI-related Terms Count
94,"law, norms, principles, codifying, provisions, international, codification, observance, respect, laws",1
101,"session, sessions, assembly, general, previous, current, special, preceding, taking, coincides",1
102,"charter, purposes, principles, enshrined, provisions, charters, envisaged, forth, words, interpretation",1
110,"sixty, fifty, ninth, seventh, sixth, session, fifth, eighth, assembly, general",1
129,"inclusive, inclusion, inclusiveness, growth, wager, social, centred, equity, equitable, sustainability",1
130,"planet, earth, save, planetary, asteroids, survival, saving, inhabitants, destroying, creature",1
135,"solomon, islands, islanders, honiara, officers, notes, sikua, rioting, derrick, square",1
142,"cooperation, international, enhanced, strengthening, aukus, intelligence, promotion, fostered, exemplify, fruitful",1
145,"growth, sustained, economic, rate, rates, steady, rapid, reinvigorating, boosted, forecasts",1
149,"concern, concerns, concerned, source, worry, deep, worrying, grave, matter, voiced",1
152,"resources, resource, available, additional, limited, adequate, scarce, allocation, requisite, commensurate",1
153,"relations, relationship, relationships, friendly, interpersonal, close, interrelationships, maintains, fraternal, excellent",1
158,"egypt, egyptian, egyptians, cairo, tahrir, citizenship, suez, square, hosni, morsi",1
159,"tension, tensions, hotbeds, easing, defuse, defusing, hotspots, aggravation, persist, interfaith",1
160,"pacific, pacification, region, plan, neighbours, cairns, leaders, walked, pacifically, pasifika",1
165,"kosovo, unmik, independence, status, 1244, pristina, unilateral, eulex, refrained, serbia",1
166,"opportunities, seize, opportunity, advantage, window, seized, limitless, offers, presents, afforded",1
167,"agricultural, farmers, agriculture, production, farmer, farming, productivity, smallholder, crops, sector",1
173,"dignity, person, beings, human, inherent, worth, innate, transcendental, regain, life",1
174,"france, french, hollande, germany, françois, mitterrand, british, german, comoros, britain",1
178,"tunisia, tunisian, tunis, egypt, tunisians, essebsi, 1987, cairo, november, libya",1
180,"argentina, argentine, amia, argentines, buenos, aires, israelita, israelite, 1994, interpol",1
185,"millennium, goals, development, realization, agreed, pointedly, sustainment, uppermost, rectangular, shortcoming",1
192,"island, small, developing, states, viability, idiosyncratic, raindrops, dangles, jersey, contend",1
204,"goals, objectives, targets, development, approaching, couch, set, developmental, measurable, constrained",1
211,"assistance, receiving, external, help, provided, invaluable, convalescent, 505, perforce, generous",1
218,"asean, southeast, asian, association, centrality, chairmanship, indo, indonesia, regionalism, closer",1
224,"cuba, cuban, cubans, sister, heroic, imposed, cubana, hardship, airliner, sisters",1
225,"revitalization, general, pleasure, songun, honour, timeous, bayonet, adhocracy, bapin, accountant",1
231,"debt, cancellation, servicing, relief, debts, burden, cancel, unsustainable, burdensome, overhang",1
232,"charter, article, provisions, evatt, espouses, entrusts, united, nations, written, constitutive",1
233,"2030, agenda, sustainable, 70, transform, goals, push, behind, 169, 17",1
234,"declaration, declarations, ulaanbaatar, adopted, baabda, declared, october, issued, ashgabat, provisions",1
252,"initiatives, undertaken, womenís, noteworthy, aimed, graced, launched, propositions, these, calibrated",1
255,"spain, spanish, spaniards, franco, poblet, port, iberian, valencia, zaragoza, quart",1
257,"natural, resources, exploitation, resource, depletion, pillaging, abundant, bereft, privatized, utilization",1
259,"fear, fears, anxiety, afraid, panic, mistrust, allay, fearful, dispel, anxious",1
262,"civil, society, organizations, vibrant, representatives, academics, participation, engagement, traumatized, biddings",1
271,"plan, plans, planning, action, triple, detailed, implementation, strategic, implementable, planned",1
272,"sdgs, sdg, 2030, goals, voluntary, sustainable, 17, implementation, agenda, accelerate",1
282,"growth, grow, growing, sustained, rates, grows, grown, unlimited, rate, quantitative",1
289,"instruments, instrument, available, irreplaceable, objectionable, steelpan, valuable, plummeting, propagating, marking",1
291,"cold, war, era, end, mentality, relic, versailles, post, soviet, ended",1
293,"veto, vetoes, power, right, abolition, use, block, cases, privilege, antidemocratic",1
305,"trafficking, persons, slavery, beings, punish, suppress, smuggling, combat, enacted, appraisal",1
312,"jerusalem, capital, holy, sites, city, east, christian, judaize, judea, hashemite",1
317,"declaration, millennium, contained, 2000, adopted, spelled, outlines, materializing, thrust, set",1
330,"military, intervention, militarism, army, militarization, militarily, force, option, generals, conscientious",1
331,"force, forces, use, disproportionate, proportionality, proportionate, deification, dev, machine, assortment",1
333,"condolences, deepest, heartfelt, sympathy, bereaved, families, condolence, sympathies, sincere, extend",1
343,"rights, fundamental, individual, orientations, œrightâ, suzerainty, arrogating, conceding, mischievous, basic",1
346,"kofi, annan, secretary, mr, general, his, demits, staff, illustrious, anan",1
348,"secretariat, secretariats, staff, reorganizing, department, att, management, boon, 273, restructuring",1
349,"sovereignty, concept, expansive, enlightened, brezhnev, respect, limitation, reappraised, fungible, respects",1
355,"suffering, sufferings, alleviate, suffer, alleviating, wheelchair, suffered, endured, debilitation, horizontally",1
361,"wealth, riches, accumulation, distribution, millionaires, richest, distribute, possessions, fortunes, amass",1
362,"lanka, sri, lankans, lankan, colombo, tamil, arrow, bandaranaike, earners, suspicion",1
368,"emissions, emission, reductions, gas, 1990, greenhouse, dioxide, reduction, reduce, reducing",1
371,"nato, atlantic, eu, european, alliance, kennan, union, andsf, versailles, bombing",1
372,"conviction, convictions, prompted, emanates, atop, rabbis, firm, acquittal, deepened, reaffirm",1
375,"hall, hallowed, halls, gathered, heard, ago, skipping, officiousness, jamais, very",1
377,"lucia, saint, joins, estate, caricom, reiterates, notes, welcomes, wishes, penned",1
378,"hungary, hungarian, budapest, hungarians, christian, 1956, homogeneous, multicultural, migration, compact",1
383,"albania, albanian, tirana, teresa, atlantic, brain, nato, lat, bektashi, 528",1
385,"greenhouse, gas, gases, emissions, emitters, emission, reduce, emitting, negligible, reducing",1
386,"emirates, arab, dhabi, abu, renews, islamic, dubai, louvre, guggenheim, attaches",1
391,"sized, smallest, small, big, large, size, medium, smaller, rich, youngest",1
396,"presidency, assembly, president, general, presidents, tenure, preside, office, ti, previous",1
402,"gulf, arabian, persian, hormuz, aden, gcc, fonseca, strait, navigation, indian",1
407,"vision, clarity, articulated, lens, hurriedly, veers, animating, relativist, eyeglasses, translate",1
408,"faso, burkina, compaoré, blaise, burkinabe, volunteers, wagner, 520, welcomes, compaore",1
415,"prisoners, prison, detention, detainees, guantánamo, prisons, release, imprisoned, prisoner, arrest",1
418,"marino, san, believes, republic, expresses, tpnw, 1854, prohibition, paid, attaches",1
420,"ki, moon, ban, secretary, tireless, general, salute, mr, his, godspeed",1
421,"green, economy, revolution, gggi, shoots, transitioning, institute, growth, transition, yellow",1
425,"constitution, constitutional, constitutions, stipulation, 230th, prolong, revision, seventhly, backbone, broadens",1
426,"iceland, icelandic, icelanders, university, reykjavik, greenland, gavel, unu, geothermal, expertise",1
442,"strengthened, strengthening, reinforced, consolidating, strengthen, broadening, bolstered, demonstrably, fortified, reorganized",1
453,"leaders, gathered, gathering, met, fortnight, pledged, world, papa, giorgia, week",1
467,"malaria, tuberculosis, aids, hiv, diseases, infectious, pandemics, endemic, flu, mortality",1
486,"sectors, sector, sectoral, productive, employer, metallurgy, sectorally, electronics, technocrats, exuberance",1
491,"czech, czechoslovakia, republic, czechoslovak, czechia, klaus, prague, vaclav, nanotechnology, havel",1
492,"lessons, learned, lesson, learn, taught, learning, drawn, draw, learnt, experiences",1
494,"senegal, senegalese, casamance, proclaims, wade, 098, 712, 4d68, sedar, acred",1
499,"foundations, foundation, laying, solid, lay, laid, foundational, liberum, rockefeller, sturdy",1
502,"elections, transparent, fair, free, credible, holding, electoral, presidential, festive, hold",1
508,"dominica, commonwealth, ventilators, joins, electricity, generating, importation, notwithstanding, carpha, 2038",1
514,"cooperation, cooperative, among, countries, coordination, monorail, criterion, lukewarm, cooperating, singaporean",1
518,"togo, togolese, changement, 144, reappearance, deserve, pluralism, ingrained, head, stricter",1
521,"insecurity, insecure, instability, cycle, impurity, cabinda, lawlessness, uncertainty, jealousy, universalized",1
524,"latvia, latvian, foresees, techgirls, latviaís, linguistic, looks, misinformation, latvians, riga",1
526,"chad, chadian, minurcat, unambiguity, attachment, abeche, vesting, janjaweed, favouritism, dis",1
527,"gender, equality, mainstreaming, women, advancement, parity, institutionalizing, enactment, locker, perspective",1
529,"comprehensive, comprehensively, rigorous, procedural, scope, lasting, compellingly, pinpoint, manner, detailed",1
533,"community, concentric, hegemons, surmounted, communities, travails, rejoined, nations, onwards, concede",1
535,"family, families, separated, unit, dysfunctional, eldad, multigenerational, sumus, gens, regev",1
536,"wto, trade, organization, seattle, ruling, relent, foursquare, rules, accession, gutted",1
541,"collective, system, security, prototype, archive, impervious, entailing, vanished, inadequacies, embodied",1
544,"differences, differ, similarity, resolve, difference, overcome, resolving, persisting, different, appraising",1
545,"secretary, trygve, general, 1953, assistant, envoy, türk, ekeus, waldheim, adviser",1
551,"membership, expanding, methods, expansion, doubled, recruit, generality, formalizes, permutations, malfunction",1
554,"size, small, large, medium, sized, smallness, big, smaller, ngirmidol, resented",1
558,"islamic, oic, bukhari, conference, federal, comoros, scholars, organization, ahmadiyya, sahih",1
562,"potential, untapped, tapped, fullest, enormous, realize, unlocking, nothings, unlock, autonomously",1
564,"neighbours, neighbour, house, furniture, paint, roof, palace, her, decides, flowers",1
572,"partners, generosity, development, assist, injections, bujumbura, timid, furtherance, buttress, complementing",1
582,"equality, equal, equals, unequals, proportionality, beings, treatment, khaleesi, gener, holier",1
593,"groupings, groups, grouping, group, realignment, subgroupings, vava, sages, apai, scanty",1
596,"woods, bretton, institutions, disparity, uneasily, deprioritize, oaks, dumbarton, twins, keener",1
601,"kingdom, britain, british, london, kingdomís, dispute, detached, resume, disregarding, persists",1
602,"united, nations, unflinching, endorses, para, netherlands, namibia, remaining, mention, best",1
606,"integration, integrate, integral, integrating, assimilation, processes, uneventfully, disaggregation, impairing, shockingly",1
608,"montenegro, 192nd, montenegrin, cocaine, cigarettes, cigarette, accession, admission, smuggling, participates",1
609,"safer, safe, freer, prosperous, fairer, holderlin, better, friendlier, friedrich, place",1
610,"marshall, islands, pna, islandsí, republics, jetnil, kijiner, lying, republic, strives",1
611,"marine, jurisdiction, ocean, conservation, oceans, seas, bbnj, biological, seabed, biodiversity",1
618,"countries, peripheral, american, general, in, , , , , ",1
623,"brothers, sisters, brother, brotherly, keeper, keepers, morazán, watchful, mahorais, awaken",1
630,"police, policing, officers, policemen, civilian, units, gendarmerie, army, force, training",1
634,"financing, suppression, terrorists, terrorism, suppress, finance, terrorist, supplying, financial, funding",1
641,"industrialized, industrial, industrialization, exaggeratedly, armour, countries, frenzy, industrializing, profited, ingrained",1
647,"underdevelopment, underdeveloped, backburner, conclave, debilitated, unsteady, dwindled, deprivations, marginalization, oxfam",1
651,"comoros, comorian, comorians, comoro, comore, admitted, gubernatorial, union, hamada, faithlessly",1
652,"biodiversity, loss, species, taiao, te, mana, fauna, ecosystems, animal, aotearoa",1
662,"germany, german, germans, chancellor, brandt, willy, federal, angela, revisionism, rifts",1
670,"voice, voices, voiced, heard, voiceless, discordant, hears, hear, fainting, loudspeakers",1
676,"floods, landslides, flooding, flood, droughts, flash, rains, mudflows, monsoon, devastating",1
677,"aid, effectiveness, dependency, volume, busan, conditional, delivery, quantity, doubling, corresponded",1
678,"guatemala, guatemalans, guatemalan, iso, certification, dreamers, cicig, bribery, maize, verification",1
679,"organization, vividly, routine, unshakeable, fao, illustrated, heed, stock, lot, myself",1
685,"recovery, economic, economy, signs, diversification, umi, unregimented, cesa, sus, tainable",1
688,"path, paths, follow, travelled, straight, embarked, maketh, wagons, along, easy",1
696,"atomic, agency, energy, inspections, atomatic, governors, board, director, governor, iaea",1
698,"peacekeepers, serving, deployed, peacebuilders, trained, deployment, battalion, dispatched, russian, filipino",1
701,"nepad, yeasmins, manpads, nilufa, evian, nerrdp, earmarking, rejuvenate, compaore, blaise",1
702,"community, charisma, amartya, incontrovertible, sen, villagers, thesis, retains, united, nations",1
711,"tome, sao, principe, tomé, sâo, pr, ncipe, graduate, multicultural, maintains",1
712,"chemical, prohibition, opcw, weapons, use, stockpile, arsenal, 8362, banning, ascertained",1
719,"conventions, convention, protocols, party, convoke, waigani, comprehensive, drafting, ratifying, promulgating",1
726,"system, subsystems, operates, shaping, grabbed, cornerstone, undervalued, systems, disquieting, reorganizing",1
734,"water, scarcity, fresh, rational, availability, management, shortages, resources, shortage, natanz",1
736,"legitimacy, effectiveness, confers, illogically, veneer, unique, indisputable, particularity, repaid, loop",1
737,"delay, delays, delayed, haste, impatient, brooks, without, wait, delaying, quickly",1
740,"trade, organization, leapfrogging, 149, 150th, world, round, rulings, marrakesh, aspiring",1
748,"league, arab, states, mahgreb, union, endorsed, prst, liaison, envoy, francophonie",1
750,"taliban, qaida, talibanization, qaeda, mercenaries, regime, kabul, al, bamiyan, delist",1
751,"conference, convening, convene, upcoming, symposiums, organize, conferences, holding, follow, third",1
763,"labour, labours, market, 169, division, unfurls, absorbent, intensive, cheap, seductive",1
764,"violations, violated, fines, violation, violate, complaints, systematically, violating, fined, indisciplined",1
767,"mdgs, goals, mdg, actuality, porfirio, mixed, development, midway, rough, mapping",1
786,"observer, observers, undof, disengagement, status, attested, heterogeneity, hiccup, hydrographic, dispassionate",1
789,"kitts, nevis, saint, st, enric, joan, studiously, cobden, vives, episcopal",1
796,"geneva, ii, communiqué, 523, 2012, annex, 522, benavides, dengo, october",1
797,"obligations, obligation, reciprocal, fulfil, restraints, fulfilment, fulfilling, profligacy, attaching, specifies",1
800,"gambia, gambian, gambians, jammeh, diaspora, alhaji, dividends, sustaining, electorate, 2021",1
807,"forgotten, remember, forget, recall, recalled, recalling, remembers, pausing, napalm, waist",1
809,"wisdom, prudence, pearls, pearl, intelligence, humans, maturity, profundity, torchbearers, reanimate",1
811,"equatorial, guinea, malabo, sipopo, graces, accusations, conceives, praises, guineans, concurs",1
812,"membership, fledged, newest, thirds, precluded, 371, grounded, fifths, prospective, barred",1
819,"financing, charybdis, scylla, disaggregated, expensive, predictability, usaid, approximate, financed, finances",1
822,"services, service, basic, delivery, provision, disparaged, 582, remotest, deliverable, requests",1
825,"cyberspace, cyberattacks, cybercrime, cybersecurity, cyber, digital, misuse, online, cyberattack, information",1
829,"drinking, water, sanitation, potable, safe, access, clean, drink, lack, 97",1
836,"social, unsettled, motivator, maximums, constricting, gist, progress, trailing, impediments, cursory",1
839,"stress, stressed, stressing, conclusion, stresse, dossiers, aired, adjustments, like, dossier",1
850,"annan, dedication, teases, tireless, nane, assistants, anan, naipaul, chomsky, noam",1
855,"goals, sustainable, crafting, 941, development, vectors, successors, concise, emanated, outlining",1
863,"civilizations, dialogue, cultures, among, chronologically, dialogues, gentler, civilizational, hymn, interfaith",1
876,"seychelles, michel, james, cohabitation, tourism, sculpt, alix, minimising, legislature, barometers",1
878,"conflicts, africa, longest, chebab, rivalries, fratricidal, africanization, running, villains, immanuel",1
883,"resolutions, resolution, 319, assembly, adopted, inherits, general, 3390, 53, dissolving",1
885,"assembly, pluricentric, improvise, veteran, discusses, hegemonism, petition, sensibly, outgrown, general",1
902,"forum, forums, irreplaceable, unassailable, reply, articulating, unique, exchanging, ideal, appropriate",1
905,"assessments, assessment, scale, apportionment, assessed, assess, thorough, budget, evaluation, bains",1
915,"sahel, sahelo, saharan, sahelian, dah, sa, integrated, unowas, guebre, saraha",1
917,"obama, barack, obamas, president, barak, yesterday, said, intelligent, charisma, 7272",1
920,"governmental, organizations, non, ngos, trepidations, orchestrating, blossomed, entities, monegasque, infiltrate",1
922,"portugal, portuguese, estoril, sampaio, knocking, affinity, endorses, submitted, projection, presides",1
925,"ideological, ideology, ideologically, pseudo, archaic, motivations, mater, eclecticism, bias, replaced",1
929,"despair, hopelessness, hopeless, frustration, disillusionment, depths, mistaking, propensities, ambient, franz",1
931,"least, developed, list, mathieu, almaty, countries, mountain, listed, grapple, maldives",1
933,"unity, bored, orienting, launchers, pandora, purpose, separation, division, reinvigoration, ensue",1
938,"bridges, bridge, builder, built, seaport, kilometre, tuins, footbridge, pyandj, paira",1
939,"financial, regulation, institutions, regulatory, oversight, supervision, oversee, wizards, regulations, transparency",1
941,"system, fulcrum, concentrates, unmil, hondurans, constituents, analysing, unambiguously, synonymous, preach",1
943,"programme, action, programmes, spelt, bsec, windhoek, 2001, thrusts, supplementing, tracked",1
947,"humanity, crimes, crime, against, heinous, perpetrators, commit, 2202, xxi, hunted",1
948,"organizations, regional, autonomies, heartily, associations, entrusted, accurate, activists, interaction, pockets",1
953,"ecowas, moratorium, kuffor, foday, corporal, chairman, goodluck, sankoh, jonathan, thick",1
955,"auspices, under, inquiry, luential, supervision, plebiscite, meanwhile, inf, ashgabat, uproot",1
970,"jewish, jews, messengers, homeland, judaism, expulsion, joel, gassing, signet, hezekiah",1
971,"kiribati, airspace, kisangani, tarawa, christmas, habitable, ngara, banaban, tamauri, kigoma",1
988,"fruit, fruits, bear, pineapple, borne, tree, bears, bearing, bad, raisin",1
992,"trading, multilateral, trade, system, rules, sanction, mountaintop, protectionism, emphasise, caters",1
994,"report, secretary, reports, entitled, notes, 59, refers, annual, general, gallup",1
998,"prosperity, enduring, peace, consciously, epoch, renounced, railways, virtuous, fostering, upsurge",1
1009,"challenges, challenge, formidable, realised, overshadowing, faced, abound, countryside, triggering, constrain",1
1021,"expression, freedom, speech, copyrighted, analog, reputedly, disown, privacy, filtering, misinterpreted",1
1036,"slovenia, slovenian, supporter, extradition, activation, borut, demining, assuring, pahor, kampala",1
1043,"consumption, patterns, production, unsustainable, consumed, consume, largesse, unsound, mindfulness, ostensible",1
1044,"integration, subregional, regional, deepening, groupings, perceives, cis, linguistic, aligning, andean",1
1048,"poorest, poor, badly, barometers, governed, fare, forgets, snail, borderline, 175",1
1061,"peaceful, conflicts, resolution, peacefully, conflict, deferring, curtailment, solution, sway, originating",1
1068,"council, assembly, recast, security, general, citing, burdensome, streamline, sun, arm",1
1076,"health, organization, chan, margaret, transmissible, paho, wha, scapegoat, spokesman, graphic",1
1078,"minister, foreign, ministers, affairs, pires, lydie, emilia, bot, polfer, bernard",1
1087,"order, equilibrium, mm, economic, equitable, 2243, sharp, shaping, capitalism, regeneration",1
1090,"settlement, conflict, mediates, settle, conflicts, bakassi, chip, bargaining, expeditious, inaugurated",1
1093,"dangers, dangerous, danger, posed, derailments, seventhly, underestimate, emanating, lurk, circumvented",1
1095,"vigilance, vigilant, constant, remain, exhortation, womb, foresaw, belligerence, constantly, charts",1
1096,"brahimi, 305, report, 55, recommendations, panel, contained, publication, depth, tells",1
1097,"embargo, cuba, lifting, cuban, lifted, imposed, anachronistic, embar, temperance, dovetails",1
1099,"eight, 1278, redefinition, gleneagles, data, sure, provided, each, regard, hope",1
1101,"partnership, partnerships, heralding, susilo, bolster, translation, demining, development, anchor, unlikely",1
1106,"hydropower, hydroelectric, hydro, stations, plants, rogun, station, facilities, gigantic, hydraulic",1
1115,"chill, global, data, shaped, politico, easiest, security, tightening, provider, component",1
1120,"atmosphere, conducive, atmospheric, air, inflate, stench, emitted, administrating, suppresses, cordiality",1
1122,"revitalization, revitalize, revitalized, revitalizing, assembly, ahwg, presumes, general, overlaps, rebalancing",1
1123,"agenda, charting, oldest, horizon, agendas, hammarskjöld, preoccupation, direction, precedence, dag",1
1127,"violence, sexual, women, gender, girls, domestic, finalise, against, 752, 736",1
1135,"arctic, ice, melting, antarctica, caps, iceberg, polar, sheets, greenland, cap",1
1137,"responsibility, responsibilities, steward, pulse, bears, responsible, shoulder, crack, tribunal, powerlessness",1
1145,"gratitude, thank, grateful, appreciation, kindred, sincerely, salutes, lent, praiseworthy, adherence",1
1149,"civilians, civilian, protection, protect, 6917, protecting, populations, cone, retains, brute",1
1156,"peace, unceasing, security, ingredient, achieves, fuelling, phenomena, opens, thousand, signatory",1
1177,"terrorist, groups, outfits, coalesced, organizations, terrorists, quashed, neever, disposes, bader",1
1180,"system, improvable, pleases, attuned, analytical, retained, buttress, precedents, pleas, permits",1
1182,"interference, internal, affairs, interfere, interfering, non, domestic, voicing, meddling, effecting",1
1184,"warning, early, systems, hazard, nodal, sendai, ther, capability, warnings, transmission",1
1197,"compliance, strict, unavailable, malleability, comply, admissible, verification, modifications, teeth, penalties",1
1203,"truth, truths, secrets, naked, nicest, shine, overlooked, behold, montaigne, shred",1
1207,"universality, universal, organization, reinforces, narrower, founders, ambit, boast, utopia, banish",1
1210,"trade, failure, expeditious, cheated, ballooned, countriesí, reciprocal, renegotiating, discriminating, dump",1
1215,"djibouti, guelleh, omar, ismail, dakar, djamena, djibril, yipènè, bassolé, djaména",1
1218,"practices, practice, transmitter, churn, unsustainable, revolved, promulgating, 153, best, phrases",1
1220,"majesty, prince, highness, serene, king, princess, royal, queen, rainier, hanover",1
1243,"problems, solutions, solving, require, portrait, global, synthesizing, mastered, delaying, methodology",1
1250,"wounds, heal, wound, healing, scars, bleeding, healed, gaping, painful, wounded",1
1254,"rights, translation, human, sipjregarding, pillars, ukrainian, garners, persecution, secular, buildup",1
1255,"horn, africa, red, inordinately, afflicted, internecine, clan, wind, meddling, ridden",1
1257,"election, preside, presidency, deserved, assembly, his, sixtyseventh, sixty, president, general",1
1266,"sixtieth, session, stewardship, facilitated, during, remainder, spearheaded, preoccupation, energetic, missed",1
1269,"urgency, matter, sense, appropriateness, immediacy, prevailing, exaggeration, inescapable, distract, corrected",1
1271,"sympathy, sympathies, sympathize, outpouring, deepest, heartfelt, sympathizes, dread, conveys, american",1
1279,"2254, syrian, geneva, astana, syria, 522, communiqué, annex, syrians, communique",1
1283,"authorities, obstructionist, unaided, monegasque, bolsters, collision, questionable, ushering, vis, disgrace",1
1285,"kenya, nairobi, kenyan, attack, mt, kenyans, dozens, shaabab, mombasa, condolences",1
1298,"transnational, organized, crime, terrorism, tashkent, intercontinental, plagues, referring, forms, linkage",1
1312,"grateful, thank, gratitude, fortheir, appreciated, community, thanks, appreciation, salute, generous",1
1318,"reality, fringes, erring, reinhold, niebuhr, chips, remotely, legitimizing, fragment, contrast",1
1326,"approach, approaches, diversion, vindictive, aimless, discourages, similarity, piecemeal, takfiri, futility",1
1327,"costs, cost, price, costly, paid, unevenly, pay, incurred, tinged, improperly",1
1328,"deadline, deadlines, halfway, submissions, artificial, approaching, arbitrar, target, dates, fast",1
1347,"arafat, yasser, rabin, yitzhak, barak, chairman, expel, deport, expulsion, siege",1
1350,"governmental, organizations, terre, des, nurtures, statutory, understandably, analysing, remarkably, aosis",1
1357,"qaida, al, splintered, professes, interdicted, defeats, affiliates, offhand, affiliated, ada",1
1362,"threats, palette, threat, threatened, posing, threaten, explode, darken, oneness, terrain",1
1369,"activities, activity, encapsulates, crux, integrated, embodying, fields, perceive, alignment, steadfastly",1
1373,"poverty, despair, ignorance, furore, flint, tinder, exhorting, backwardness, demeaning, feud",1
1375,"commitments, overseas, reallocation, observes, internationally, supplemented, paves, attainable, engagements, g20",1
1378,"withdrawal, withdraw, israeli, occupied, israel, territories, arab, israelís, pertain, lands",1
1381,"secure, œour, prosperous, stable, fairer, progressive, bequeath, freer, aspire, compromising",1
1411,"embargo, commercial, imposed, embargos, financial, hampering, lifting, lift, licted, economic",1
1416,"ldcs, ldc, ldcsí, woeful, injurious, treatment, waiver, reconsidered, describes, deferred",1
1417,"vincent, grenadines, saint, forays, ingrid, adamant, intrigue, pleads, capitalizing, cherishes",1
1423,"capacity, strengthen, mount, sustain, allocating, fault, displayed, strengthening, regulate, controlled",1
1432,"message, messages, send, sent, communicates, unambiguous, simple, 118, hear, ohrid",1
1435,"compassion, compassionate, exemplars, envelop, largesse, din, tempered, humanitarianism, visionary, love",1
1437,"77, china, group, rogge, pondered, chairing, g77, communicated, primitive, movement",1
1444,"prophets, prophet, moses, abraham, isaiah, jesus, divine, noah, christ, hazrat",1
1446,"life, difference, lives, daily, counts, scraps, convinces, death, speculate, lived",1
1451,"reform, revitalize, monopolized, inefficiency, repaired, mirror, keenly, delivering, revitalization, encompass",1
1457,"nepad, africaís, africa, peer, conceptualized, hails, symbolizes, botswana, african, grown",1
1461,"earthquake, mexico, condolences, hurricanes, prayers, sympathy, earthquakes, sympathies, deepest, mexican",1
1467,"education, learning, transforming, teachers, school, learners, quality, secondary, teacher, lifelong",1
1469,"means, disposal, wherewithal, modalities, available, meandering, 223, injections, advisable, ways",1
1470,"rights, commenting, human, si, exaggerated, revert, finest, spelled, mainstreamed, nurtured",1
1473,"congratulate, secretary, warmly, general, congratulating, facilitators, sincerest, congratulations, transformational, sterling",1
1478,"post, 2015, agenda, intrinsic, attracts, encapsulated, drafting, failings, redoubling, synonymous",1
1484,"prosperity, stability, stable, prosperous, usher, unanswered, welfare, engender, purposeful, regaining",1
1491,"suitably, primacy, global, unyielding, determines, unsustainable, speeding, somehow, unlimited, fits",1
1492,"aspiration, aspirational, gasps, ventilate, appearances, air, distracted, breathing, repository, stagnant",1
1494,"fund, demining, itf, funds, ibsa, sourced, slovenian, latent, trust, reflections",1
1497,"council, burhanuddin, rabbani, embody, bougainville, completing, momentum, york, itself, experience",1
1503,"factors, combination, factor, militated, pretensions, luence, external, hegemonistic, constraining, inadequately",1
1511,"atlantic, north, treaty, alliance, militarized, sounder, solidify, organization, transatlantic, union",1
1515,"blockade, cuba, cuban, tightened, commercial, blockaded, imposed, blockades, opportunistically, immoral",1
1516,"indebted, heavily, poor, highly, completion, indebtedness, peculiarities, enhanced, medium, constrain",1
1525,"assembly, general, interpol, bond, subject, wishes, ways, extend, your, office",1
1529,"middle, east, stability, councilís, stable, amicable, attainable, abraham, topical, widespread",1
1531,"reform, rational, contentious, converge, passionate, arose, voiced, outline, envisioned, modernize",1
1535,"deficit, deficits, budget, fiscal, budging, straightening, stem, huge, deficiency, outflows",1
1538,"french, spoke, bois, langue, classical, creole, la, de, haitian, in",1
1541,"prejudices, prejudice, stereotypes, bigotry, blights, prejudiced, stereotyping, parochialism, bias, stigmas",1
1554,"members, organization, 151st, member, behoves, understandably, articulate, freely, defender, staff",1
1560,"ward, cruelly, doorstep, surprising, reputation, needless, convergence, ad, virtually, interested",1
1562,"election, president, assembly, general, at, newly, its, elected, as, stated",1
1573,"price, prices, paid, exorbitant, paying, heavy, affordable, clamped, gouging, pay",1
1584,"drug, trafficking, marawi, organized, cartels, drugs, illicit, siamese, bankrolls, terrorism",1
1587,"coordinated, integrated, ineptly, ineffectively, staffed, uppermost, 270, bolder, harmonized, elaborating",1
1589,"empowerment, equality, gender, women, equity, equated, secularism, equal, drivers, affirmed",1
1590,"resolutions, exudes, licts, 67, accordance, relevant, internationally, conf, proclaiming, freezing",1
1591,"direct, investment, foreign, attraction, remodel, bypasses, wagon, hitch, motor, png",1
1601,"organization, member, shelling, states, shame, compels, charged, allocate, members, identifying",1
1602,"governments, disintegrated, alacrity, governmentís, tread, judging, insensitive, inevitability, utility, widened",1
1604,"readiness, cooperate, iom, proclaims, confirm, emulate, unflagging, indicating, fundamentals, full",1
1618,"displaced, internally, persons, refugees, return, residences, apartments, tempered, refuge, generosity",1
1622,"affairs, odlum, strident, twisting, foreign, unclear, unexpectedly, practitioners, interview, lit",1
1624,"fundraising, controversy, extrabudgetary, reprioritization, cauldron, warlike, conflict, conflicts, prevention, belligerents",1
1626,"session, sessions, during, general, previous, favours, evolve, chosen, arrived, steer",1
1627,"underdevelopment, poverty, realising, morass, defeat, chains, deriving, frustrations, frontiers, nightmare",1
1633,"charter, principles, helsinki, hopefully, notable, underlying, united, nations, contained, principle",1
1639,"fraternity, yuai, mathematicians, accountants, egocentrism, ut, links, yu, liberty, nouvelles",1
1640,"civilians, innocent, civilian, grilled, nijrab, tagab, subjection, defenceless, inadvertently, maiming",1
1643,"domination, dominated, dominant, dominating, dominance, dominate, superiorities, purists, bigoted, subservience",1
1646,"rice, wheat, staples, potatoes, maize, cereal, staple, flour, beans, cereals",1
1647,"podium, spoke, kadirgamar, stoke, unheeded, dismayed, stood, fingers, clouds, spoken",1
